Number	Name	age.from	age.to	system
#157	Стохастическое повреждение ДНК	10	15	immune
#1647	Экзогенные химические и физические факторы	10	15	unknown
#1690	Недорепликация ДНК при нормальной пролиферации клеток	10	15	unknown
#21	Негомологичная рекомбинация хромосом	15	25	intersystem
#71	Накопление денатурированных белков	15	25	intersystem
#159	Образование малонового альдегида	15	85	metabolism
#223	Сверхактивация протоонкогенов	15	25	immune
#253	Потеря белков, покрывающих теломеры (TRF2)	15	25	intersystem
#270	Нарушение структуры хроматина	15	25	immune
#353	Выработка свободных радикалов	15	25	intersystem
#785	Снижение количества активных копий ДНК, кодирующей рибосомальную РНК и белки	15	25	intersystem
#859	Накопление белковых сшивок	15	20	intersystem
#931	Возрастное переключение активности разных субъединиц протеасом	15	25	intersystem
#1586	Рост доли субъединиц протеосом с пониженной активностью	15	25	intersystem
#13	Ухудшение питания клеток	20	40	cell
#19	Накопление сшивок липид-белок	20	30	intersystem
#47	Накопление клеточного мусора в клетках печени	20	30	metabolism
#65	Снижение синтеза белка	20	45	metabolism
#97	Точковые (ядерные) мутации	20	30	intersystem
#175	Снижение секреции IGF-1 (инсулиноподобного фактора роста-1) в гепатоцитах печени	20	30	metabolism
#185	Хромосомные аберрации	20	30	intersystem
#239	Нестабильность генома	20	30	intersystem
#245	Образование сигнала о двухцепочечном разрыве ДНК	20	30	intersystem
#251	Снижение выработки ТТГ (Тиреотропный гормон)	20	35	hormones
#268	Патологическое укорочение теломер	20	30	intersystem
#319	Нарушение функций клетки	20	40	cell
#347	Гипотрофия щитовидной железы	20	40	hormones
#359	Эпигенетические нарушения (сшивки ДНК-белок, деметилирование ДНК)	20	30	intersystem
#363	Накопление нефункциональных белков	20	30	intersystem
#373	Транспозиция мобильных элементов генома	20	30	intersystem
#375	Образование 8-оксо-2’деоксигуанозина в промоторных и энхансерных участках ДНК	20	30	intersystem
#389	Уменьшение числа связей между клетками	20	40	cell
#401	Ухудшение питания тканей	20	50	connective
#427	Сшивки ДНК-ДНК	20	30	intersystem
#433	Негативное изменение конститутивной экспрессии генов	20	30	intersystem
#447	Уменьшение количества (и ухудшение качества) адгезивных рецепторов	20	40	cell
#525	Накопление окисленных белков	20	30	intersystem
#531	Снижение синтеза рибосомальных белков	20	30	intersystem
#539	Накопление нефункциональных белков, входящих в состав антиоксидантных систем	20	30	intersystem
#553	Блокирование репликационной вилки	20	30	intersystem
#555	Мутации мтДНК	20	30	intersystem
#575	Образование алкилированных оснований	20	30	intersystem
#593	Повышение активности АФК	20	30	intersystem
#635	Снижение синтеза рибосомальной РНК	20	30	intersystem
#641	Накопление карбонилированных белков	20	30	intersystem
#665	Снижение синтеза мРНК	20	30	intersystem
#679	Снижение выработки Q10	20	30	metabolism
#727	Начало атрофии ретикулярных клеток тимуса	20	50	cell
#767	Гипотрофия нейроэндокринных узлов (в гипоталамусе и стволе мозга)	20	30	hormones
#781	Снижение экспрессии компонентов репаративных систем	20	30	intersystem
#793	Ухудшение передачи сигнальной информации	20	40	connective
#795	Уменьшение количества информационных молекул	20	40	connective
#825	Образование NUMT-псевдогенов в мтДНК	20	30	intersystem
#839	Снижение активности белков теплового шока	20	30	intersystem
#841	Первичное ухудшение микроциркуляции крови и лимфы	20	60	intersystem
#885	Гипотрофия передней доли гипофиза	20	35	hormones
#889	Потеря Т-петли в теломерах	20	30	intersystem
#891	Разрывы цепей ДНК	20	30	intersystem
#939	Уменьшение проницаемости межклеточного пространства	20	45	cell
#51	Гипотрофия надпочечников	25	35	hormones
#63	Изменение физико-химических свойств мембранного матрикса	25	35	cell
#85	Накопление белковых агрегатов (клеточного мусора)	25	35	intersystem
#147	Накопление нефункциональных белков	25	35	intersystem
#165	Повреждение мембран митохондрий	25	35	cell
#169	Увеличение количества коллагенных волокон (между клеток)	25	35	cell
#276	Уменьшение синтеза С-комплемента	25	35	metabolism
#311	Уплотнение клеточной мемраны	25	35	cell
#453	Снижение количества и качества рибосом	25	35	cell
#475	Снижение выработки АКТГ (Аденекортикотропный гормон)	25	35	hormones
#501	Нарушение индуцибельной экспрессии генов ДНК	25	35	intersystem
#509	Нарушение суточного ритма секреции нейрпептида Y	25	35	hormones
#629	Перикисное окисление липидов в мембранах	25	35	metabolism
#833	p53-зависимая необратимая задержка пролиферации клеток	25	35	cell
#901	Снижение проницаемости мембраны	25	35	cell
#919	Изменение порога чувствительности в центре аппетита гипоталамуса	25	35	hormones
#1583	Временное адаптивное прекращение пролиферации клеток	25	35	cell
#29	Замедление процесса синтеза эластина и коллагена	30	40	metabolism
#101	Ингибирование протеосомы	30	40	cell
#163	Снижение количества функционирующих клеток	30	40	cell
#181	"Нарушение пула стволовых клеток в популяции, в результате нарушения ""Хоминга"""	30	40	cell
#187	Накопление липофусцина	30	40	metabolism
#209	Уменьшение пролиферации клеток	30	40	cell
#237	Изменение рецепторной чувствительности клетки	30	40	cell
#241	Снижение секреции норадреналина	30	100	hormones
#247	Повреждения эндотелия	30	40	cell
#288	Уменьшение скорости физиологической регенерации тканей	30	40	cell
#301	Гипотрофия эпифиза	30	40	hormones
#315	Повышение секреции вазопрессина	30	40	hormones
#321	Снижение секреции Дегидроэпиандростерона	30	40	hormones
#325	Накопление дефектного коллагена	30	40	intersystem
#357	Появление дефектных митохондрий	30	40	cell
#383	Гипотрофия половых желез	30	40	hormones
#399	Негативное изменение межклеточного матрикса	30	40	cell
#467	Снижение секреции половых гормонов (тестостерон, эстрадиол, прогестерон)	30	40	hormones
#471	Нарушение транспорта метаболитов через мембрану	30	40	cell
#551	Снижение секреции мелатонина	30	40	hormones
#603	Подавление аутофагии	30	40	cell
#617	Снижение выработки АТФ (в отдельных клетках)	30	40	metabolism
#687	Постоянное переедание	30	40	metabolism
#871	Нарушение метаболизма клетки	30	40	metabolism
#895	Проникновение окислов липидов и фибринов и тромбоцитов в субэндотелиальное пространство	30	40	cardiovascular
#915	Повышение секреции глюкокортикоидов	30	40	hormones
#933	Окисление эластина	30	40	metabolism
#1648	Уменьшение количества стволовых мышечных клеток	30	40	cell
#1665	Уменьшение содержания эластина в стенках артерий (на 5–10%)	30	40	cardiovascular
#1666	Начало кальциноза артерий	30	40	cardiovascular
#25	Ухудшение удаления токсинов	35	45	connective
#123	Повышение секреции пролактина	35	45	hormones
#151	Снижение секреции тиреоидных гормонов	35	45	hormones
#195	Уменьшение выработки эстрогена	35	45	hormones
#266	Нарушения хоминга	35	45	cell
#407	Устойчивое прекращение пролиферации клеток	35	45	cell
#431	Уменьшение объёма клетки	35	50	cell
#557	Накопление жирных кислот в крови	35	45	cardiovascular
#599	Ухудшение состояния межклеточного матрикса в сухожилиях	35	45	cell
#601	Менопауза и андропауза	35	45	hormones
#607	Переполнение лизосомы	35	45	cell
#615	Понижение толерантности к глюкозе	35	45	cell
#737	Уменьшение эластичности стенок легочных альвеол	35	45	respiratory
#755	Длительное повышение уровня глюкозы в крови	35	45	metabolism
#861	Хронические инфекции	35	100	immune
#883	Уменьшение количества внутриклеточных элементов (митохондрии, рибосомы)	35	50	cell
#9	Замещение свободного пространства соединительной тканью	40	50	connective
#15	Накопление гликированных белков	40	50	metabolism
#27	Уменьшение функциональной активности клеток	40	40	cell
#61	Увеличение количества непереваренной пищи в ЖКТ	40	85	metabolism
#201	Сшивки (из-за металлов переменной валентности, диальдегидов)	40	50	intersystem
#243	Блокирование реакций клетки на факторы роста, активирующие ее пролиферацию	40	60	cell
#333	Ухудшение ансамблевой работы клеток	40	50	cell
#391	Гипертрофия простаты	40	50	hormones
#511	Интеграция ретровирусов в ДНК	40	100	immune
#519	Увеличение количества альдегидов	40	50	metabolism
#529	Снижение ферментной активности в железистых клетках ЖКТ	40	85	metabolism
#623	Увеличение количества жировой ткани	40	50	metabolism
#783	Разрастание гнилостной флоры	40	85	cell
#801	Снижение секреции соматотропина (гормон роста)	40	50	hormones
#821	Образование дефектных антигенов в клетках организма	40	50	cell
#865	Изменение структуры аполипопротеина (ЛПНП)	40	50	cardiovascular
#877	Иммунная система воспринимает эти клетки как чужеродные	40	50	cell
#1640	Общая интоксикация организма	40	50	metabolism
#907	Увеличение количества соединительной ткани	43	50	respiratory
#117	Повышение активности паратиреоидного гормона	45	55	hormones
#155	Стойкое понижение уровня инсулина в крови	45	55	hormones
#161	Гипотрофия эндокринной части поджелудочной железы	45	55	hormones
#171	Вымывание Ca из костей	45	55	metabolism
#189	Образование пенистых клеток	45	55	cell
#231	Ухудшение состояния межклеточного матрикса в хрящах	45	55	cell
#273	Ухудшение микроциркуляции в поджелудочной железе	45	55	intersystem
#489	Уменьшение эластичности сосудов	45	60	cardiovascular
#565	Появление аутоиммунной реакции	45	55	immune
#649	Уменьшение проводимости нервных волокон	45	50	nervous
#799	Накопление внеклеточного мусора	45	55	cell
#819	Атака обкладочных клеток желудка иммунной системой	45	55	cell
#845	Нарушение усваиваемости витаминов групп BDCE	45	50	metabolism
#927	Деструкция симпатических окончаний	45	60	nervous
#945	Дефицит микроэлементов	45	85	metabolism
#959	Переполнение макрофагов окислами липидов	45	55	cell
#965	Аутоиммунные заболевания	45	55	immune
#1701	Уменьшение функциональной активности миокарда	45		cardiovascular
#23	Уменьшение влияния на сердце симпатической нервной системы	50	60	nervous
#33	Хронические генерализованные вялотекущие воспаления	50	60	immune
#39	Вторичный иммунодефицит	50	60	immune
#56	Гипотрофия тканей, вызванная ухудшением общего кровообращения	50	60	cardiovascular
#91	Сахарный диабет пожилого возраста	50	85	metabolism
#93	Размножение гладкомышечных клеток	50	60	cell
#109	Снижение скорости рефлексов	50	60	nervous
#115	Неусвоение витамина B12	50	60	metabolism
#130	Ожирение	50	60	metabolism
#133	Уменьшение функциональной активности почек	50	60	metabolism
#139	Продуцирование воспалительных цитокинов	50	100	immune
#141	Соединение альвеол между собой	50	60	respiratory
#143	Снижение функциональной активности (тканей, органов, систем)	50	60	connective
#153	Уменьшение количества серотонина	50	60	nervous
#203	Остеохондроз	50	60	intersystem
#207	Ухудшение функций миоцитов	50	60	cell
#217	Накопление повреждений в миоцитах	50	60	cell
#235	Почечная недостаточность	50	60	metabolism
#249	Уменьшение количества миоцитов	50	60	cell
#257	Ревматизм	50	60	intersystem
#279	Изменение проницаемости альвеолярной стенки	50	75	cell
#281	Воспалительные реакции в тканях	50	100	immune
#411	Подавление секреции паратиреоидного гормона	50	60	hormones
#463	Образование атеросклеротических бляшек	50	60	cardiovascular
#523	Ухудшение усвоения кальция и витамина D в кишечнике	50	60	metabolism
#535	Снижение синтеза кальцийтриола	50	60	metabolism
#589	Кишечная интоксикация	50	85	metabolism
#647	Увеличение периферического сопротивления	50	60	cardiovascular
#675	Увеличение уровня Ca в крови	50	60	metabolism
#677	Появление дефектных клеток	50	60	cell
#693	Гипоплазия мышечной ткани	50	60	intersystem
#729	Гипоплазия тканей	50	80	connective
#733	Уменьшение адаптивной реакции	50	60	nervous
#751	Снижение секреции нейротрансмиттеров	50	60	nervous
#837	Ухудшение общего кровообращения	50	60	cardiovascular
#967	Гиповитаминоз B12	50	60	metabolism
#1641	Рассеянный склероз: первично-прогрессирующая форма	50		immune
#1642	Мышечная слабость	50	60	unknown
#31	Атрофия лёгочных альвеол	55	70	respiratory
#37	Накопление аммилоидных фибрил (бетта-амилоида)	55	65	nervous
#45	Метаболический синдром	55	65	metabolism
#49	Онкогенез: появление злокачественных и доброкачественных опухолей	55	65	cancer
#53	Уменьшается эластичность легочной ткани	55	65	respiratory
#137	Костные шипы	55	65	intersystem
#177	Увеличение количества амилоидных бляшек	55	65	nervous
#205	Артериальная гипертония	55	65	cardiovascular
#225	Активирование очагов онкологических клеток	55	65	cancer
#367	Артриты	55	65	intersystem
#377	Остеопороз	55	65	intersystem
#437	Болезнь Паркинсона	55	65	nervous
#495	ИБС	55	65	cardiovascular
#563	Уменьшение количества нейронов	55	65	cell
#659	Миокардиопатия	55	65	cardiovascular
#699	Гипотрофия мышц грудной клетки	55	65	respiratory
#909	Депрессия	55	60	nervous
#951	Нарушение мозгового кровообращения	55	65	cardiovascular
#1612	Инсулиннезависимый сахарный диабет (II типа)	55	80	metabolism
#1667	Выраженный кальциноз артерий	55	65	cardiovascular
#7	Сердечная недостаточность	60	70	cardiovascular
#77	Снижение физической работоспособности	60	70	intersystem
#126	Нарушение регуляции основных систем жизнеобеспечения	60	70	nervous
#131	Инфаркт миокарда	60	70	cardiovascular
#193	Болезнь Альцгеймера	60	70	nervous
#272	Репликативное старение (стойкое прекращение пролиферации клеток)	60	80	cell
#283	Уменьшение жизненной емкости легких	60	70	respiratory
#295	Ишемический инсульт	60	70	cardiovascular
#1692	Инфаркт легких	60	70	respiratory
#67	Ухудшение снабжения тканей кислородом	65	75	respiratory
#73	Рак молочной железы	65	65	cancer
#95	Ограничение подвижности	65	75	intersystem
#103	Усиление атрофии мышц	65	75	intersystem
#173	Рак простаты	65	65	cancer
#191	Рак легких	65	70	cancer
#197	Анемия	65	75	respiratory
#307	Переломы	65	75	intersystem
#505	Легочная недостаточность	65	75	respiratory
#917	Нарушение газообмена CO2 и O2	65	75	respiratory
#1694	Длительное лежание в постели	65	79	unknown
#1708	Рак пищевода	65		cancer
#1709	Рак желудка	65		cancer
#1710	Рак тонкого кишечника	65		cancer
#1711	Рак толстого кишечника	65		cancer
#1723	Рак эндокринных желез	65		cancer
#1724	Рак женских половых органов	65		cancer
#831	Эмфизема лёгких	68	75	respiratory
#59	Пневмония	70	100	respiratory
#145	Общая дряхлость организма	70	80	intersystem
#345	Гипоксия (разной степени)	70	100	respiratory
#385	Ухудшение когнитивных способностей мозга	70	80	nervous
#543	Смерть организма	85	90	death
#1613	Сужение просвета сосудов			cardiovascular
#1614	Ухудшение коронарного кровообращения			cardiovascular
#1616	Повышение проницаемости сосудистой стенки			cell
#1617	Разрыв сосудов мозга			cardiovascular
#1618	Геморрагический инсульт			cardiovascular
#1619	Нарушение функционирования головного мозга			cardiovascular
#1620	Закупорка сосудов мозга			cardiovascular
#1621	Артериальная гипотония			cardiovascular
#1622	Гиповолемия			cell
#1623	Брадикардия			cardiovascular
#1624	Тромбоз сосудов мозга			cardiovascular
#1625	Тромботическая эмболия сосудов мозга			cardiovascular
#1626	Образование пристеночных тромбов в сердце			cardiovascular
#1627	Пороки сердца			cardiovascular
#1628	Эндокардит			cardiovascular
#1629	Повышение уровня глюкагона в крови			hormones
#1630	Усиление липолиза (расщепления триглицеридов)			metabolism
#1631	Кетонемия			metabolism
#1632	Метаболический ацидоз			metabolism
#1633	Уменьшение транспорта аминокислот в клетки			cell
#1634	Повышение содержания аминокислот в крови			metabolism
#1635	Выделение аминокислот с мочей			metabolism
#1636	Отрицательный азотный баланс			metabolism
#1638	Повышение активности липазы			metabolism
#1639	Старческая деменция			nervous
#1643	Разрывы хромосом			unknown
#1644	Усиление продуцирование металлопротеиназ			unknown
#1645	Уменьшение функциональной активности рецепторов			cell
#1646	Повышение уровня кортизола в крови			hormones
#1649	Уменьшение концентрации цитокина IL7 в тимусе			metabolism
#1651	Повышение порога возбудимости нервных центров			nervous
#1652	Уменьшение активности холинацетилазы			metabolism
#1653	Уменьшение синтеза ацетилхолина			unknown
#1654	Нарушение межсинаптической связи между нейронами			cell
#1655	Уменьшение количества нервных рецепторов			cell
#1656	Дефицит фактора роста нервов (ФРН)			cell
#1657	Кальцификация миоцитов			cell
#1658	Хронический обструктивный бронхит			respiratory
#1659	Хронический кашель			respiratory
#1660	Повышение давления в альвеолах			respiratory
#1661	Бронхиальная астма			respiratory
#1662	Стрептококковая и стафилококковая инфекция			unknown
#1663	Жировая эмболия			unknown
#1664	Гипоплазия костного мозга			unknown
#1668	Уменьшение кровотока			cardiovascular
#1669	Межбелковые сшивки			unknown
#1670	Амплификация ДНК			unknown
#1672	Тепловое движение молекул			unknown
#1673	Уменьшение синтеза селектинов и адрессинов			unknown
#1674	Нарушение взаимодействия между белками хоминга (L-селектинамии адрессинами)			unknown
#1675	Нарушение миграции лимфоцитов в лимфоузлы			unknown
#1676	Жировая эмболия сосудов легких			respiratory
#1678	Воспаление сосудистой стенки			unknown
#1679	Дисбактериоз			metabolism
#1680	Аллергические реакции			immune
#1681	Истощение запасов нейромедиаторов			nervous
#1682	Утомление синапсов			nervous
#1683	Уменьшение поглощения кислорода клеткой			cell
#1684	Снижение скорости деления стволовых мышечных клеток			cell
#1685	Замедление поступления сигналов в центре насыщения гипоталамуса о насыщении			unknown
#1686	Функциональная недостаточность органов			unknown
#1687	Превращение протоонкогенов в онкогены			cancer
#1688	Поздние мутации			unknown
#1689	Миграция NUMT-псевдогенов в ядро			unknown
#1691	Нормальное укорочение теломер			unknown
#1693	Атрофия мышц (саркопения)			unknown
#1695	Снижение синтеза белка в железистых клетках ЖКТ			metabolism
#1696	Повышение онкориска кишечника			cancer
#1698	Нарушение водно-солевого обмена			metabolism
#1699	Уменьшение синтеза белка в кардиомиоцитах			metabolism
#1700	Уменьшение функциональной активности кардиомиоцитов			cell
#1702	Дальнейшее ухудшение функциональной активности печени			unknown
#1703	Уменьшение функциональной активности клеток почек			unknown
#1704	Задержка эвакуации непереваренной пищи (запор)			unknown
#1705	Гипотрофия гладкой мускулатуры стенки кишечника			unknown
#1706	Ослабление мышечного тонуса стенки кишечника			unknown
#1707	Гормональное усиление атрофии ретикулярных клеток тимуса			immune
#1712	Гипоплазия обкладочных стенок слизистой желудка			cell
#1713	Раковая интоксикация			cancer
#1714	Выраженное уменьшение кислотности желудочного сока			metabolism
#1715	Гипоцидный гастрит			cell
#1716	Стимуляция желчеобразования			metabolism
#1717	Избыточная концентрация желчных кислот и продуктов из распада в кишечнике			metabolism
#1718	Превращение тестостерона в эстрогены (в жировой ткани мужчин)			hormones
#1719	Отрыжка			unknown
#1720	Выброс желудочных кислот в пищевод			unknown
#1721	Избыток инсулина			hormones
#1722	Избыток холестерина			metabolism
#1725	Избыток половых стероидных гормонов (эстрогены)			hormones
#1726	Аденома простаты			unknown
#1727	Уменьшение количества T-хелперов			unknown
#1728	Нарушение микрофлоры ЖКТ			unknown
